Schedule.ID,Spreadsheet.Row,Trial.Number,condition,trial.condition,Response,expected.response.filler,expected.response.prime,numeric.combination,Reaction.Time,accuracy.prime,accuracy.filler,distributive.target,accuracy.twoprimes
22123585,5,23,Baseline,target,2-2_circles_hearts_D.png,,,,6045.8,NA,NA,1,
22123585,6,22,Baseline,target,2-2_triangles_squares_D.png,,,,5211.2,NA,NA,1,
22123585,7,25,Baseline,target,2-2_squares_hearts_D.png,,,,5478.9,NA,NA,1,
22123585,8,9,Baseline,target,2-2_hearts_triangles_D.png,,,,3311.5,NA,NA,1,
22123585,9,27,Baseline,target,2-2_hearts_squares_D.png,,,,6379.5,NA,NA,1,
22123585,10,7,Baseline,target,2-2_circles_triangles_D.png,,,,4030.7,NA,NA,1,
22123585,11,1,Baseline,target,2-2_hearts_squares_D.png,,,,5069,NA,NA,1,
22123585,12,4,Baseline,target,2-2_circles_squares_D.png,,,,6293,NA,NA,1,
22123585,13,30,Baseline,target,2-3_squares_circles_D.png,,,,6552.2,NA,NA,1,
22123585,14,24,Baseline,target,2-3_circles_squares_D.png,,,,5526.1,NA,NA,1,
22123585,15,11,Baseline,target,2-3_hearts_triangles_D.png,,,,5429.5,NA,NA,1,
22123585,16,10,Baseline,target,2-3_squares_triangles_D.png,,,,6763,NA,NA,1,
22123585,17,32,Baseline,target,2-3_hearts_squares_D.png,,,,5322.4,NA,NA,1,
22123585,18,15,Baseline,target,2-3_squares_triangles_D.png,,,,6716.9,NA,NA,1,
22123585,19,3,Baseline,target,2-3_squares_triangles_D.png,,,,13901.8,NA,NA,1,
22123585,20,29,Baseline,target,2-3_triangles_circles_D.png,,,,5205,NA,NA,1,
22123585,21,19,Baseline,filler,1-2_circle_squares.png,1-2_circle_squares.png,,,3751.2,NA,1,NA,
22123585,22,8,Baseline,filler,1-2_circle_hearts.png,1-2_circle_hearts.png,,,3488.3,NA,1,NA,
22123585,23,28,Baseline,filler,1-2_heart_triangles.png,1-2_heart_triangles.png,,,4313.8,NA,1,NA,
22123585,24,6,Baseline,filler,1-2_square_triangles.png,1-2_square_triangles.png,,,3875.8,NA,1,NA,
22123585,25,5,Baseline,filler,1-2_triangle_hearts.png,1-2_triangle_hearts.png,,,3529.3,NA,1,NA,
22123585,26,14,Baseline,filler,1-2_square_triangles.png,1-2_square_triangles.png,,,4274.5,NA,1,NA,
22123585,27,16,Baseline,filler,1-2_triangle_hearts.png,1-2_triangle_hearts.png,,,2819.6,NA,1,NA,
22123585,28,12,Baseline,filler,1-2_triangle_hearts.png,1-2_triangle_hearts.png,,,3879.9,NA,1,NA,
22123585,29,2,Baseline,filler,1-3_circle_hearts.png,1-3_circle_hearts.png,,,2721,NA,1,NA,
22123585,30,18,Baseline,filler,1-3_heart_triangles.png,1-3_heart_triangles.png,,,4096,NA,1,NA,
22123585,31,31,Baseline,filler,1-3_triangle_hearts.png,1-3_triangle_hearts.png,,,2868.5,NA,1,NA,
22123585,32,20,Baseline,filler,1-3_circle_squares.png,1-3_circle_squares.png,,,6191.7,NA,1,NA,
22123585,33,26,Baseline,filler,1-3_circle_triangles.png,1-3_circle_triangles.png,,,5705.9,NA,1,NA,
22123585,34,21,Baseline,filler,1-3_square_circles.png,1-3_square_circles.png,,,3421.9,NA,1,NA,
22123585,35,17,Baseline,filler,1-2_square_triangles.png,1-3_square_triangles.png,,,2164.9,NA,0,NA,
22123585,36,13,Baseline,filler,1-3_heart_triangles.png,1-3_heart_triangles.png,,,3326.2,NA,1,NA,
22123585,38,142,Cumulative,prime1,2-2_hearts_triangles_C.png,,2-2_hearts_triangles_C.png,Equal,7128.3,1,NA,NA,
22123585,39,143,Cumulative,prime2,2-2_circles_squares_C.png,,2-2_circles_squares_C.png,Equal,11381.2,1,NA,NA,
22123585,40,144,Cumulative,target,2-2_circles_hearts_D.png,,,Equal,8032.6,NA,NA,1,2
22123585,41,191,Cumulative,prime1,2-2_triangles_hearts_C.png,,2-2_triangles_hearts_C.png,Equal,3419.4,1,NA,NA,
22123585,42,192,Cumulative,prime2,2-2_squares_circles_C.png,,2-2_squares_circles_C.png,Equal,5975.9,1,NA,NA,
22123585,43,193,Cumulative,target,2-2_hearts_squares_D.png,,,Equal,10528.6,NA,NA,1,2
22123585,44,80,Cumulative,prime1,2-2_squares_circles_C.png,,2-2_squares_circles_C.png,Equal,4838.6,1,NA,NA,
22123585,45,81,Cumulative,prime2,2-3_hearts_triangles_C.png,,2-2_hearts_triangles_C.png,Equal,3784.8,0,NA,NA,
22123585,46,82,Cumulative,target,2-2_triangles_squares_D.png,,,Equal,6845.5,NA,NA,1,1
22123585,47,174,Cumulative,prime1,2-3_squares_circles_C.png,,2-2_squares_circles_C.png,Equal,4342.3,0,NA,NA,
22123585,48,175,Cumulative,prime2,2-2_triangles_hearts_C.png,,2-2_triangles_hearts_C.png,Equal,8123.9,1,NA,NA,
22123585,49,176,Cumulative,target,2-2_circles_triangles_D.png,,,Equal,4679.4,NA,NA,1,1
22123585,50,186,Cumulative,prime1,2-3_hearts_circles_C.png,,2-2_hearts_circles_C.png,Different,3480.1,0,NA,NA,
22123585,51,187,Cumulative,prime2,2-2_triangles_squares_C.png,,2-2_triangles_squares_C.png,Different,8758,1,NA,NA,
22123585,52,188,Cumulative,target,2-3_squares_circles_D.png,,,Different,8417.8,NA,NA,1,1
22123585,53,121,Cumulative,prime1,2-2_squares_triangles_C.png,,2-2_squares_triangles_C.png,Different,29140.3,1,NA,NA,
22123585,54,122,Cumulative,prime2,2-2_hearts_circles_C.png,,2-2_hearts_circles_C.png,Different,4219.8,1,NA,NA,
22123585,55,123,Cumulative,target,2-3_hearts_squares_D.png,,,Different,6676,NA,NA,1,2
22123585,56,95,Cumulative,prime1,2-2_hearts_circles_C.png,,2-2_hearts_circles_C.png,Different,14328.3,1,NA,NA,
22123585,57,96,Cumulative,prime2,2-2_triangles_squares_C.png,,2-2_triangles_squares_C.png,Different,6132.2,1,NA,NA,
22123585,58,97,Cumulative,target,2-3_circles_squares_D.png,,,Different,5186.4,NA,NA,1,2
22123585,59,139,Cumulative,prime1,2-2_circles_hearts_C.png,,2-2_circles_hearts_C.png,Different,6216.6,1,NA,NA,
22123585,60,140,Cumulative,prime2,2-2_squares_triangles_C.png,,2-2_squares_triangles_C.png,Different,7098.8,1,NA,NA,
22123585,61,141,Cumulative,target,2-3_squares_triangles_D.png,,,Different,6755.7,NA,NA,1,2
22123585,62,102,Cumulative,prime1,2-3_hearts_circles_C.png,,2-3_hearts_circles_C.png,Different,9276.7,1,NA,NA,
22123585,63,103,Cumulative,prime2,2-3_squares_triangles_C.png,,2-3_squares_triangles_C.png,Different,11568.7,1,NA,NA,
22123585,64,104,Cumulative,target,2-2_squares_hearts_C.png,,,Different,3429.2,NA,NA,0,2
22123585,65,76,Cumulative,prime1,2-3_hearts_circles_C.png,,2-3_hearts_circles_C.png,Different,7787.3,1,NA,NA,
22123585,66,77,Cumulative,prime2,2-3_triangles_squares_C.png,,2-3_triangles_squares_C.png,Different,4358.5,1,NA,NA,
22123585,67,78,Cumulative,target,2-2_hearts_squares_D.png,,,Different,8317.6,NA,NA,1,2
22123585,68,136,Cumulative,prime1,2-3_squares_circles_C.png,,2-3_squares_circles_C.png,Different,6841,1,NA,NA,
22123585,69,137,Cumulative,prime2,2-3_hearts_triangles_C.png,,2-3_hearts_triangles_C.png,Different,5644.3,1,NA,NA,
22123585,70,138,Cumulative,target,2-2_hearts_triangles_C.png,,,Different,4573.8,NA,NA,0,2
22123585,71,194,Cumulative,prime1,2-3_hearts_squares_C.png,,2-3_hearts_squares_C.png,Different,13038.8,1,NA,NA,
22123585,72,195,Cumulative,prime2,2-3_circles_triangles_C.png,,2-3_circles_triangles_C.png,Different,6700.9,1,NA,NA,
22123585,73,196,Cumulative,target,2-2_circles_squares_D.png,,,Different,6434.5,NA,NA,1,2
22123585,74,99,Cumulative,prime1,2-3_triangles_circles_C.png,,2-3_triangles_circles_C.png,Equal,2613.7,1,NA,NA,
22123585,75,100,Cumulative,prime2,2-3_hearts_squares_C.png,,2-3_hearts_squares_C.png,Equal,6176.8,1,NA,NA,
22123585,76,101,Cumulative,target,2-3_hearts_triangles_D.png,,,Equal,6235.2,NA,NA,1,2
22123585,77,148,Cumulative,prime1,2-3_squares_hearts_C.png,,2-3_squares_hearts_C.png,Equal,6615.7,1,NA,NA,
22123585,78,149,Cumulative,prime2,2-3_triangles_circles_C.png,,2-3_triangles_circles_C.png,Equal,4828,1,NA,NA,
22123585,79,150,Cumulative,target,2-3_squares_triangles_D.png,,,Equal,3460.1,NA,NA,1,2
22123585,80,37,Cumulative,prime1,2-3_hearts_circles_C.png,,2-3_hearts_circles_C.png,Equal,9163.3,1,NA,NA,
22123585,81,38,Cumulative,prime2,2-3_triangles_squares_C.png,,2-3_triangles_squares_C.png,Equal,8161.9,1,NA,NA,
22123585,82,39,Cumulative,target,2-3_squares_triangles_D.png,,,Equal,11768.6,NA,NA,1,2
22123585,83,201,Cumulative,prime1,2-3_circles_hearts_C.png,,2-3_circles_hearts_C.png,Equal,3096.9,1,NA,NA,
22123585,84,202,Cumulative,prime2,2-3_squares_triangles_C.png,,2-3_squares_triangles_C.png,Equal,4935.6,1,NA,NA,
22123585,85,203,Cumulative,target,2-3_triangles_circles_D.png,,,Equal,5806.9,NA,NA,1,2
22123585,86,60,Distributive,prime1,2-2_squares_circles_D.png,,2-2_squares_circles_D.png,Equal,4735.2,1,NA,NA,
22123585,87,61,Distributive,prime2,2-2_hearts_triangles_D.png,,2-2_hearts_triangles_D.png,Equal,6983.9,1,NA,NA,
22123585,88,62,Distributive,target,2-2_triangles_squares_D.png,,,Equal,5463.8,NA,NA,1,2
22123585,89,110,Distributive,prime1,2-2_squares_hearts_D.png,,2-2_squares_hearts_D.png,Equal,7739.6,1,NA,NA,
22123585,90,111,Distributive,prime2,2-2_triangles_circles_D.png,,2-2_triangles_circles_D.png,Equal,9141.6,1,NA,NA,
22123585,91,112,Distributive,target,2-2_circles_hearts_D.png,,,Equal,6050.6,NA,NA,1,2
22123585,92,211,Distributive,prime1,2-2_triangles_hearts_D.png,,2-2_triangles_hearts_D.png,Equal,4437.6,1,NA,NA,
22123585,93,212,Distributive,prime2,2-2_squares_circles_D.png,,2-2_squares_circles_D.png,Equal,15279.9,1,NA,NA,
22123585,94,213,Distributive,target,2-2_squares_circles_D.png,,,Equal,4361.8,NA,NA,1,2
22123585,95,63,Distributive,prime1,2-2_triangles_hearts_D.png,,2-2_triangles_hearts_D.png,Equal,5305.1,1,NA,NA,
22123585,96,64,Distributive,prime2,2-2_circles_squares_D.png,,2-2_circles_squares_D.png,Equal,2834,1,NA,NA,
22123585,97,65,Distributive,target,2-2_squares_circles_D.png,,,Equal,6629.9,NA,NA,1,2
22123585,98,57,Distributive,prime1,2-2_circles_hearts_D.png,,2-2_circles_hearts_D.png,Different,11362.5,1,NA,NA,
22123585,99,58,Distributive,prime2,2-2_squares_triangles_D.png,,2-2_squares_triangles_D.png,Different,7977.6,1,NA,NA,
22123585,100,59,Distributive,target,2-3_triangles_circles_D.png,,,Different,3668.6,NA,NA,1,2
22123585,101,197,Distributive,prime1,2-2_triangles_squares_D.png,,2-2_triangles_squares_D.png,Different,4823.1,1,NA,NA,
22123585,102,198,Distributive,prime2,2-2_hearts_circles_D.png,,2-2_hearts_circles_D.png,Different,5024.5,1,NA,NA,
22123585,103,199,Distributive,target,2-3_circles_triangles_D.png,,,Different,4271.2,NA,NA,1,2
22123585,104,156,Distributive,prime1,2-2_circles_hearts_D.png,,2-2_circles_hearts_D.png,Different,3652.2,1,NA,NA,
22123585,105,157,Distributive,prime2,2-2_squares_triangles_D.png,,2-2_squares_triangles_D.png,Different,6203.9,1,NA,NA,
22123585,106,158,Distributive,target,2-3_squares_circles_D.png,,,Different,6127,NA,NA,1,2
22123585,107,105,Distributive,prime1,2-2_hearts_squares_D.png,,2-2_hearts_squares_D.png,Different,3677.1,1,NA,NA,
22123585,108,106,Distributive,prime2,2-2_triangles_circles_D.png,,2-2_triangles_circles_D.png,Different,4568.2,1,NA,NA,
22123585,109,107,Distributive,target,2-3_squares_hearts_D.png,,,Different,2947.4,NA,NA,1,2
22123585,110,170,Distributive,prime1,2-3_triangles_circles_D.png,,2-3_triangles_circles_D.png,Different,5268.4,1,NA,NA,
22123585,111,171,Distributive,prime2,2-3_squares_hearts_D.png,,2-3_squares_hearts_D.png,Different,5212.4,1,NA,NA,
22123585,112,172,Distributive,target,2-2_squares_hearts_D.png,,,Different,7926,NA,NA,1,2
22123585,113,50,Distributive,prime1,2-3_squares_circles_D.png,,2-3_squares_circles_D.png,Different,10657.3,1,NA,NA,
22123585,114,51,Distributive,prime2,2-3_hearts_triangles_D.png,,2-3_hearts_triangles_D.png,Different,4094.4,1,NA,NA,
22123585,115,52,Distributive,target,2-2_circles_squares_D.png,,,Different,5509.3,NA,NA,1,2
22123585,116,117,Distributive,prime1,2-3_triangles_squares_D.png,,2-3_triangles_squares_D.png,Different,3795.8,1,NA,NA,
22123585,117,118,Distributive,prime2,2-3_hearts_circles_D.png,,2-3_hearts_circles_D.png,Different,4165.8,1,NA,NA,
22123585,118,119,Distributive,target,2-2_triangles_squares_D.png,,,Different,3088.5,NA,NA,1,2
22123585,119,68,Distributive,prime1,2-3_triangles_circles_D.png,,2-3_triangles_circles_D.png,Different,4350.3,1,NA,NA,
22123585,120,69,Distributive,prime2,2-3_squares_hearts_D.png,,2-3_squares_hearts_D.png,Different,3545.6,1,NA,NA,
22123585,121,70,Distributive,target,2-2_squares_circles_D.png,,,Different,3699,NA,NA,1,2
22123585,122,54,Distributive,prime1,2-3_hearts_circles_D.png,,2-3_hearts_circles_D.png,Equal,3700.6,1,NA,NA,
22123585,123,55,Distributive,prime2,2-3_triangles_squares_D.png,,2-3_triangles_squares_D.png,Equal,13131.8,1,NA,NA,
22123585,124,56,Distributive,target,2-3_hearts_circles_D.png,,,Equal,6622.1,NA,NA,1,2
22123585,125,84,Distributive,prime1,2-3_triangles_circles_D.png,,2-3_triangles_circles_D.png,Equal,6535.1,1,NA,NA,
22123585,126,85,Distributive,prime2,2-3_squares_hearts_D.png,,2-3_squares_hearts_D.png,Equal,19109.3,1,NA,NA,
22123585,127,86,Distributive,target,2-3_hearts_triangles_D.png,,,Equal,4318,NA,NA,1,2
22123585,128,183,Distributive,prime1,2-3_hearts_squares_D.png,,2-3_hearts_squares_D.png,Equal,5030,1,NA,NA,
22123585,129,184,Distributive,prime2,2-3_circles_triangles_D.png,,2-3_circles_triangles_D.png,Equal,11749,1,NA,NA,
22123585,130,185,Distributive,target,2-3_triangles_circles_D.png,,,Equal,6080.1,NA,NA,1,2
22123585,131,42,Distributive,prime1,2-3_hearts_triangles_D.png,,2-3_hearts_triangles_D.png,Equal,8708.9,1,NA,NA,
22123585,132,43,Distributive,prime2,2-3_circles_squares_D.png,,2-3_circles_squares_D.png,Equal,3274.2,1,NA,NA,
22123585,133,44,Distributive,target,2-3_squares_hearts_D.png,,,Equal,3405.5,NA,NA,1,2
22123585,134,129,Control,prime1,1-2_circle_squares.png,,1-2_circle_squares.png,Equal,2873.7,1,NA,NA,
22123585,135,130,Control,prime2,1-2_triangle_hearts.png,,1-2_triangle_hearts.png,Equal,4938.5,1,NA,NA,
22123585,136,131,Control,target,2-2_squares_triangles_D.png,,,Equal,8795.3,NA,NA,1,2
22123585,137,205,Control,prime1,1-2_circle_hearts.png,,1-2_circle_hearts.png,Equal,4146.1,1,NA,NA,
22123585,138,206,Control,prime2,1-2_square_triangles.png,,1-2_square_triangles.png,Equal,6516.2,1,NA,NA,
22123585,139,207,Control,target,2-2_hearts_triangles_D.png,,,Equal,9007.4,NA,NA,1,2
22123585,140,222,Control,prime1,1-2_heart_triangles.png,,1-2_heart_triangles.png,Equal,3277.4,1,NA,NA,
22123585,141,223,Control,prime2,1-2_circle_squares.png,,1-2_circle_squares.png,Equal,2664.3,1,NA,NA,
22123585,142,224,Control,target,2-2_triangles_circles_D.png,,,Equal,4361.2,NA,NA,1,2
22123585,143,90,Control,prime1,1-2_square_triangles.png,,1-2_square_triangles.png,Equal,4773.4,1,NA,NA,
22123585,144,91,Control,prime2,1-2_circle_hearts.png,,1-2_circle_hearts.png,Equal,3643.9,1,NA,NA,
22123585,145,92,Control,target,2-2_hearts_circles_D.png,,,Equal,3172.2,NA,NA,1,2
22123585,146,180,Control,prime1,1-2_triangle_hearts.png,,1-2_triangle_hearts.png,Different,3929.5,1,NA,NA,
22123585,147,181,Control,prime2,1-2_circle_squares.png,,1-2_circle_squares.png,Different,4597,1,NA,NA,
22123585,148,182,Control,target,2-3_squares_triangles_D.png,,,Different,4923.1,NA,NA,1,2
22123585,149,162,Control,prime1,1-2_square_triangles.png,,1-2_square_triangles.png,Different,3144,1,NA,NA,
22123585,150,163,Control,prime2,1-2_heart_circles.png,,1-2_heart_circles.png,Different,2576.9,1,NA,NA,
22123585,151,164,Control,target,2-3_squares_triangles_D.png,,,Different,3928,NA,NA,1,2
22123585,152,177,Control,prime1,1-2_triangle_hearts.png,,1-2_triangle_hearts.png,Different,5610,1,NA,NA,
22123585,153,178,Control,prime2,1-2_circle_squares.png,,1-2_circle_squares.png,Different,4757.8,1,NA,NA,
22123585,154,179,Control,target,2-3_circles_squares_D.png,,,Different,5664.9,NA,NA,1,2
22123585,155,71,Control,prime1,1-2_triangle_hearts.png,,1-2_triangle_hearts.png,Different,8333.3,1,NA,NA,
22123585,156,72,Control,prime2,1-2_circle_squares.png,,1-2_circle_squares.png,Different,5247.7,1,NA,NA,
22123585,157,73,Control,target,2-3_circles_triangles_D.png,,,Different,3104.9,NA,NA,1,2
22123585,158,47,Control,prime1,1-3_circle_hearts.png,,1-3_circle_hearts.png,Different,4484.7,1,NA,NA,
22123585,159,48,Control,prime2,1-3_triangle_squares.png,,1-3_triangle_squares.png,Different,3822.6,1,NA,NA,
22123585,160,49,Control,target,2-2_circles_hearts_D.png,,,Different,7605.4,NA,NA,1,2
22123585,161,219,Control,prime1,1-3_heart_triangles.png,,1-3_heart_triangles.png,Different,2912.1,1,NA,NA,
22123585,162,220,Control,prime2,1-3_circle_squares.png,,1-3_circle_squares.png,Different,1969.6,1,NA,NA,
22123585,163,221,Control,target,2-2_triangles_circles_D.png,,,Different,5006.3,NA,NA,1,2
22123585,164,153,Control,prime1,1-3_triangle_hearts.png,,1-3_triangle_hearts.png,Different,3510.9,1,NA,NA,
22123585,165,154,Control,prime2,1-3_circle_squares.png,,1-3_circle_squares.png,Different,4269.9,1,NA,NA,
22123585,166,155,Control,target,2-2_hearts_circles_D.png,,,Different,6109.6,NA,NA,1,2
22123585,167,215,Control,prime1,1-3_circle_squares.png,,1-3_circle_squares.png,Different,3786.6,1,NA,NA,
22123585,168,216,Control,prime2,1-3_heart_triangles.png,,1-3_heart_triangles.png,Different,5842.7,1,NA,NA,
22123585,169,217,Control,target,2-2_triangles_hearts_D.png,,,Different,7706.3,NA,NA,1,2
22123585,170,165,Control,prime1,1-3_circle_triangles.png,,1-3_circle_triangles.png,Equal,3392.3,1,NA,NA,
22123585,171,166,Control,prime2,1-3_heart_squares.png,,1-3_heart_squares.png,Equal,2769,1,NA,NA,
22123585,172,167,Control,target,2-3_squares_triangles_D.png,,,Equal,6236.3,NA,NA,1,2
22123585,173,87,Control,prime1,1-3_square_circles.png,,1-3_square_circles.png,Equal,2521.5,1,NA,NA,
22123585,174,88,Control,prime2,1-3_triangle_hearts.png,,1-3_triangle_hearts.png,Equal,3921.7,1,NA,NA,
22123585,175,89,Control,target,2-3_hearts_circles_D.png,,,Equal,8649.3,NA,NA,1,2
22123585,176,33,Control,prime1,1-3_square_triangles.png,,1-3_square_triangles.png,Equal,4195.5,1,NA,NA,
22123585,177,34,Control,prime2,1-3_circle_hearts.png,,1-3_circle_hearts.png,Equal,3020.7,1,NA,NA,
22123585,178,35,Control,target,2-3_circles_hearts_D.png,,,Equal,2485.9,NA,NA,1,2
22123585,179,208,Control,prime1,1-3_heart_triangles.png,,1-3_heart_triangles.png,Equal,2478.2,1,NA,NA,
22123585,180,209,Control,prime2,1-3_square_circles.png,,1-3_square_circles.png,Equal,3369.9,1,NA,NA,
22123585,181,210,Control,target,2-3_circles_squares_D.png,,,Equal,11130,NA,NA,1,2
22123585,182,189,Cumulative,filler,2-2_circles_triangles_C.png,2-2_circles_triangles_C.png,,,14131.8,NA,1,NA,
22123585,183,41,Cumulative,filler,2-2_hearts_squares_C.png,2-2_hearts_squares_C.png,,,4582.4,NA,1,NA,
22123585,184,113,Cumulative,filler,2-2_squares_hearts_C.png,2-2_squares_hearts_C.png,,,14294.2,NA,1,NA,
22123585,185,66,Cumulative,filler,2-2_squares_hearts_C.png,2-2_squares_hearts_C.png,,,18946.5,NA,1,NA,
22123585,186,79,Cumulative,filler,2-2_circles_hearts_C.png,2-2_circles_hearts_C.png,,,6880.2,NA,1,NA,
22123585,187,108,Cumulative,filler,2-2_circles_squares_C.png,2-2_circles_squares_C.png,,,3346.8,NA,1,NA,
22123585,188,67,Cumulative,filler,2-2_hearts_triangles_C.png,2-2_hearts_triangles_C.png,,,5934.7,NA,1,NA,
22123585,189,36,Cumulative,filler,2-2_squares_circles_C.png,2-2_squares_circles_C.png,,,18766.5,NA,1,NA,
22123585,190,168,Cumulative,filler,2-2_squares_triangles_C.png,2-2_squares_triangles_C.png,,,5049.4,NA,1,NA,
22123585,191,135,Cumulative,filler,2-2_triangles_hearts_C.png,2-2_triangles_hearts_C.png,,,5441.5,NA,1,NA,
22123585,192,120,Cumulative,filler,2-2_circles_triangles_C.png,2-2_circles_triangles_C.png,,,5132.9,NA,1,NA,
22123585,193,169,Cumulative,filler,2-2_circles_triangles_C.png,2-2_circles_triangles_C.png,,,7638.5,NA,1,NA,
22123585,194,93,Cumulative,filler,2-3_hearts_triangles_C.png,2-3_hearts_triangles_C.png,,,5381.4,NA,1,NA,
22123585,195,83,Cumulative,filler,2-3_triangles_hearts_C.png,2-3_triangles_hearts_C.png,,,6639.2,NA,1,NA,
22123585,196,40,Cumulative,filler,2-3_squares_hearts_C.png,2-3_squares_hearts_C.png,,,7193.8,NA,1,NA,
