Spreadsheet Row,randomise_blocks,randomise_trials,display,trial.condition,sentence,condition,left.stimuli,right.stimuli,expected.response.filler,expected.response.prime,numeric.combination,text,correct.answer,correct.feedback,incorrect.feedback
1,,,instructions,,,,,,,,,,,,
2,,,practice,,A circle is connected to three triangles.,,1-3_circle_triangles.png,1-2_circle_triangles.png,,,,Practice,1-3_circle_triangles.png,"<p style=""font-size: xx-large;"">Indeed, in the previous example the left picture is a good match for the sentence because the circle in the picture is connected to three triangles.</p>","<p style=""font-size: xx-large;"">In the previous example, the right picture is <b>not</b> a good match for the sentence because the circle in the picture is connected to two rather than three triangles.</p> <p style=""font-size: xx-large;"">Please read the sentence carefully and try again.</p>"
3,,,practice,,A heart is connected to three squares.,,1-2_heart_squares.png,1-3_heart_squares.png,,,,,1-3_heart_squares.png,"<p style=""font-size: xx-large;"">Indeed, in the previous example the right picture is a good match for the sentence because the heart in the picture is connected to three squares.</p>","<p style=""font-size: xx-large;"">In the previous example, the left picture is <b>not</b> a good match for the sentence because the heart in the picture is connected to two rather than three squares.</p> <p style=""font-size: xx-large;"">Please read the sentence carefully and try again.</p>"
4,,,start,,,,,,,,,,,,
5,,1,trial,target,Two circles are connected to two hearts.,,2-2_circles_hearts_C.png,2-2_C.pngircles_hearts_D.png,,,,Baseline Block,,,
6,,1,trial,target,Two triangles are connected to two squares.,,2-2_triangles_squares_C.png,2-2_triangles_squares_D.png,,,,,,,
7,,1,trial,target,Two squares are connected to two hearts.,,2-2_squares_hearts_C.png,2-2_squares_hearts_D.png,,,,,,,
8,,1,trial,target,Two hearts are connected to two triangles.,,2-2_hearts_triangles_C.png,2-2_hearts_triangles_D.png,,,,,,,
9,,1,trial,target,Two hearts are connected to two squares.,,2-2_hearts_squares_D.png,2-2_hearts_squares_C.png,,,,,,,
10,,1,trial,target,Two circles are connected to two triangles.,,2-2_circles_triangles_D.png,2-2_C.pngircles_triangles_C.png,,,,,,,
11,,1,trial,target,Two hearts are connected to two squares.,,2-2_hearts_squares_D.png,2-2_hearts_squares_C.png,,,,,,,
12,,1,trial,target,Two circles are connected to two squares.,,2-2_circles_squares_D.png,2-2_C.pngircles_squares_C.png,,,,,,,
13,,1,trial,target,Two squares are connected to three circles.,,2-3_squares_circles_C.png,2-3_squares_circles_D.png,,,,,,,
14,,1,trial,target,Two circles are connected to three squares.,,2-3_circles_squares_C.png,2-3_circles_squares_D.png,,,,,,,
15,,1,trial,target,Two hearts are connected to three triangles.,,2-3_hearts_triangles_C.png,2-3_hearts_triangles_D.png,,,,,,,
16,,1,trial,target,Two squares are connected to three triangles.,,2-3_squares_triangles_C.png,2-3_squares_triangles_D.png,,,,,,,
17,,1,trial,target,Two hearts are connected to three squares.,,2-3_hearts_squares_D.png,2-3_hearts_squares_C.png,,,,,,,
18,,1,trial,target,Two squares are connected to three triangles.,,2-3_squares_triangles_D.png,2-3_squares_triangles_C.png,,,,,,,
19,,1,trial,target,Two squares are connected to three triangles.,,2-3_squares_triangles_D.png,2-3_squares_triangles_C.png,,,,,,,
20,,1,trial,target,Two triangles are connected to three circles.,,2-3_triangles_circles_D.png,2-3_triangles_circles_C.png,,,,,,,
21,,1,trial,filler,A circle is connected to two squares.,,1-2_circle_squares.png,1-3_circle_squares.png,1-2_circle_squares.png,,,,,,
22,,1,trial,filler,A circle is connected to two hearts.,,1-2_circle_hearts.png,1-3_circle_hearts.png,1-2_circle_hearts.png,,,,,,
23,,1,trial,filler,A heart is connected to two triangles.,,1-3_heart_triangles.png,1-2_heart_triangles.png,1-2_heart_triangles.png,,,,,,
24,,1,trial,filler,A square is connected to two triangles.,,1-3_square_triangles.png,1-2_square_triangles.png,1-2_square_triangles.png,,,,,,
25,,1,trial,filler,A triangle is connected to two hearts.,,1-2_triangle_hearts.png,1-3_triangle_hearts.png,1-2_triangle_hearts.png,,,,,,
26,,1,trial,filler,A square is connected to two triangles.,,1-2_square_triangles.png,1-3_square_triangles.png,1-2_square_triangles.png,,,,,,
27,,1,trial,filler,A triangle is connected to two hearts.,,1-3_triangle_hearts.png,1-2_triangle_hearts.png,1-2_triangle_hearts.png,,,,,,
28,,1,trial,filler,A triangle is connected to two hearts.,,1-3_triangle_hearts.png,1-2_triangle_hearts.png,1-2_triangle_hearts.png,,,,,,
29,,1,trial,filler,A circle is connected to three hearts.,,1-3_circle_hearts.png,1-2_circle_hearts.png,1-3_circle_hearts.png,,,,,,
30,,1,trial,filler,A heart is connected to three triangles.,,1-3_heart_triangles.png,1-2_heart_triangles.png,1-3_heart_triangles.png,,,,,,
31,,1,trial,filler,A triangle is connected to three hearts.,,1-2_triangle_hearts.png,1-3_triangle_hearts.png,1-3_triangle_hearts.png,,,,,,
32,,1,trial,filler,A circle is connected to three squares.,,1-2_circle_squares.png,1-3_circle_squares.png,1-3_circle_squares.png,,,,,,
33,,1,trial,filler,A circle is connected to three triangles.,,1-3_circle_triangles.png,1-2_circle_triangles.png,1-3_circle_triangles.png,,,,,,
34,,1,trial,filler,A square is connected to three circles.,,1-3_square_circles.png,1-2_square_circles.png,1-3_square_circles.png,,,,,,
35,,1,trial,filler,A square is connected to three triangles.,,1-2_square_triangles.png,1-3_square_triangles.png,1-3_square_triangles.png,,,,,,
36,,1,trial,filler,A heart is connected to three triangles.,,1-2_heart_triangles.png,1-3_heart_triangles.png,1-3_heart_triangles.png,,,,,,
37,,,break,,,,,,,,,,,,
38,1,,trial,prime1,Two hearts are connected to two triangles.,C,2-2_hearts_triangles_C.png,2-3_hearts_triangles_C.png,,2-2_hearts_triangles_C.png,Equal,Priming Block,,,
39,1,,trial,prime2,Two circles are connected to two squares.,C,2-3_circles_squares_C.png,2-2_circles_squares_C.png,,2-2_circles_squares_C.png,Equal,,,,
40,1,,trial,target,Two circles are connected to two hearts.,C,2-2_circles_hearts_C.png,2-2_circles_hearts_D.png,,,Equal,,,,
41,2,,trial,prime1,Two triangles are connected to two hearts.,C,2-2_triangles_hearts_C.png,2-3_triangles_hearts_C.png,,2-2_triangles_hearts_C.png,Equal,,,,
42,2,,trial,prime2,Two squares are connected to two circles.,C,2-3_squares_circles_C.png,2-2_squares_circles_C.png,,2-2_squares_circles_C.png,Equal,,,,
43,2,,trial,target,Two hearts are connected to two squares.,C,2-2_hearts_squares_D.png,2-2_hearts_squares_C.png,,,Equal,,,,
44,3,,trial,prime1,Two squares are connected to two circles.,C,2-3_squares_circles_C.png,2-2_squares_circles_C.png,,2-2_squares_circles_C.png,Equal,,,,
45,3,,trial,prime2,Two hearts are connected to two triangles.,C,2-2_hearts_triangles_C.png,2-3_hearts_triangles_C.png,,2-2_hearts_triangles_C.png,Equal,,,,
