Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-g21o,Randomise questionnaire elements?,Question Key,Response
1,1653644283697,27/05/2022 09:38:03,1653644283618,1,27/05/2022 10:38:03,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,BEGIN QUESTIONNAIRE,
2,1653644302156,27/05/2022 09:38:22,1653644302085,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,age,39
3,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,age-quantised,22
4,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,gender,Female
5,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,gender-quantised,1
6,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,native-language,Yes
7,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,native-language-quantised,1
8,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,language1,Yes
9,1653644302215,27/05/2022 09:38:22,1653644302086,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,language1-quantised,1
10,1653644302215,27/05/2022 09:38:22,1653644302087,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,language2,Yes
11,1653644302215,27/05/2022 09:38:22,1653644302087,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,language2-quantised,1
12,1653644302215,27/05/2022 09:38:22,1653644302087,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,language-3,No
13,1653644302215,27/05/2022 09:38:22,1653644302087,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,language-3-quantised,2
14,1653644302215,27/05/2022 09:38:22,1653644302087,1,27/05/2022 10:38:22,85439,16,questionnaire-mbc5,,22124048,BLIND,6525842,,complete,,6290990f4a524442c946d841,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.64,1920x1080,1784x868,,Demographics,5,continue,No,END QUESTIONNAIRE,18470
1,1653644392158,27/05/2022 09:39:52,1653644392059,1,27/05/2022 10:39:52,85439,16,questionnaire-mbc5,,22124111,BLIND,6525833,,complete,,629098bac8c971270f23f1e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1.2,1440x900,1440x837,,Demographics,5,continue,No,BEGIN QUESTIONNAIRE,
2,1653644401804,27/05/2022 09:40:01,1653644401764,1,27/05/2022 10:40:01,85439,16,questionnaire-mbc5,,22124111,BLIND,6525833,,complete,,629098bac8c971270f23f1e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1.2,1440x900,1440x837,,Demographics,5,continue,No,age,21
